symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-12-05 17:30:00+00:00,243.305,243.37,243.035,243.09,33483.0,270.0,243.215449
AAPL,2024-12-05 17:45:00+00:00,243.115,243.22,242.81,242.92,24716.0,290.0,243.078899
AAPL,2024-12-05 18:00:00+00:00,242.96,243.135,242.85,243.105,6446.0,131.0,243.005962
AAPL,2024-12-05 18:15:00+00:00,243.115,243.245,242.63,242.795,25740.0,300.0,242.888506
AAPL,2024-12-05 18:30:00+00:00,242.85,243.31,242.85,243.135,12101.0,186.0,243.155868
AAPL,2024-12-05 18:45:00+00:00,243.13,243.26,242.95,243.16,16754.0,240.0,243.131307
AAPL,2024-12-05 19:00:00+00:00,243.235,243.57,243.015,243.555,14803.0,234.0,243.270985
AAPL,2024-12-05 19:15:00+00:00,243.545,243.685,243.28,243.29,14728.0,226.0,243.484827
AAPL,2024-12-05 19:30:00+00:00,243.275,243.36,242.985,243.075,24224.0,331.0,243.202497
AAPL,2024-12-05 19:45:00+00:00,243.075,243.13,242.99,243.12,8543.0,162.0,243.038966
AAPL,2024-12-05 20:00:00+00:00,243.09,243.26,242.9,243.0,21039.0,247.0,243.11297
AAPL,2024-12-05 20:15:00+00:00,242.99,243.005,242.76,242.88,33965.0,377.0,242.867199
AAPL,2024-12-05 20:30:00+00:00,242.89,243.0,242.74,242.94,58923.0,670.0,242.86177
AAPL,2024-12-05 20:45:00+00:00,242.93,243.07,242.195,243.07,149443.0,1617.0,242.749742
AAPL,2024-12-06 14:30:00+00:00,242.96,243.12,242.12,243.07,58309.0,792.0,242.797086
AAPL,2024-12-06 14:45:00+00:00,243.12,244.15,243.08,243.615,61558.0,617.0,243.830543
AAPL,2024-12-06 15:00:00+00:00,243.67,244.625,243.59,244.195,46880.0,584.0,244.155657
AAPL,2024-12-06 15:15:00+00:00,244.19,244.3,243.19,243.41,42278.0,424.0,243.623765
AAPL,2024-12-06 15:30:00+00:00,243.52,243.74,243.42,243.59,14924.0,275.0,243.600467
AAPL,2024-12-06 15:45:00+00:00,243.64,243.66,243.34,243.59,14541.0,234.0,243.509589
AAPL,2024-12-06 16:00:00+00:00,243.6,244.08,243.595,243.7,24938.0,302.0,243.821949
